28,20,16,16
42,24,24,22
56,38,36,34
72,51,49,35
68,46,42,42
14,10,8,8
53,39,36,32
58,38,36,34
111,76,68,59
90,68,64,58
26,16,14,14
34,22,20,20
46,30,28,26
53,31,30,28
68,50,48,44
60,38,36,34
48,32,30,27
52,40,34,34
30,21,18,18
42,36,31,29
83,58,55,53
111,80,75,74
16,12,12,10
31,21,19,18
34,28,22,20
68,43,42,39
144,102,41,39
6,4,54,51
58,45,28,26
85,55,37,36
42,30,32,30
49,45,45,42
53,35,18,18
75,45,20,18
26,22,23,23
34,20,44,40
41,23,57,56
70,45,35,34
92,57,33,29
61,38,38,36
53,35,37,34
56,40,51,49
53,40,47,45
74,59,41,39
77,48,54,51
58,45,8,6
85,55,22,20
14,10,34,32
38,24,34,31
54,38,59,57
56,36,8,6
96,61,12,10
14,10,26,24
24,12,30,26
42,26,28,25
44,30,23,22
41,29,24,24
35,25,28,26
38,24,42,38
44,30,49,47
66,44,19,18
72,53,32,29
34,23,34,32
51,32,56,53
51,38,4,4
91,59,12,12
8,6,32,32
28,12,38,35
52,38,36,32
61,40,28,28
60,36,30,29
46,32,36,30
40,34,54,52
57,36,49,47
82,58,36,34
79,53,41,38
52,38,41,39
62,44,44,40
61,43,69,66
67,44,,
109,72,,
