1,28,31.0
2,20,25.4
3,16,22.0
4,16,20.0
1,42,42.0
2,24,34.0
3,24,30.4
4,22,27.2
1,56,59.4
2,38,49.6
3,36,44.2
4,34,41.8
1,72,74.0
2,51,56.4
3,49,59.8
4,35,52.6
1,68,71.0
2,46,56.8
3,42,54.8
4,42,50.0
1,14,15.6
2,10,12.4
3,8,11.0
4,8,10.4
1,53,58.8
2,39,48.7
3,36,44.6
4,32,40.2
1,58,58.8
2,38,50.0
3,36,45.8
4,34,42.8
1,111,116.6
2,76,88.1
3,68,84.0
4,59,81.6
1,90,96.4
2,68,82.2
3,64,76.4
4,58,71.8
1,26,26.0
2,16,21.0
3,14,18.4
4,14,17.6
1,34,37.0
2,22,29.2
3,20,26.0
4,20,23.4
1,46,48.6
2,30,38.4
3,28,34.6
4,26,34.0
1,53,53.0
2,31,40.8
3,30,38.1
4,28,35.4
1,68,70.2
2,50,59.0
3,48,56.0
4,44,54.4
1,60,61.4
2,38,50.2
3,36,44.4
4,34,40.8
1,48,50.1
2,32,41.5
3,30,36.9
4,27,36.0
1,52,57.0
2,40,48.8
3,34,45.6
4,34,43.8
1,30,33.7
2,21,27.0
3,18,24.2
4,18,21.0
1,42,46.8
2,36,40.7
3,31,37.9
4,29,35.4
1,83,85.4
2,58,70.9
3,55,67.9
4,53,63.9
1,111,113.7
2,80,96.7
3,75,90.1
4,74,87.3
1,16,16.0
2,12,13.4
3,12,12.2
4,10,12.0
1,31,33.8
2,21,25.2
3,19,22.8
4,18,20.9
1,34,40.0
2,28,31.8
3,22,28.6
4,20,27.0
1,68,71.2
2,43,57.4
3,42,53.3
4,39,50.7
1,144,153.0
2,102,129.0
1,6,6.0
2,4,5.2
1,58,61.8
2,45,51.9
3,41,48.9
4,39,46.2
1,85,88.9
2,55,72.1
3,54,68.3
4,51,61.9
1,42,44.8
2,30,36.8
3,28,33.2
4,26,31.2
1,49,54.6
2,45,50.0
3,37,47.3
4,36,45.0
1,53,54.0
2,35,45.5
3,32,40.2
4,30,39.3
1,75,76.4
2,45,60.2
3,45,57.1
4,42,51.9
1,26,30.2
2,22,26.0
3,18,23.4
4,18,21.0
1,34,35.0
2,20,27.2
3,20,23.8
4,18,22.2
1,41,42.4
2,23,32.2
3,23,29.1
4,23,27.4
1,70,74.8
2,45,59.2
3,44,54.1
4,40,51.2
1,92,94.2
2,57,75.9
3,57,72.4
4,56,68.9
1,61,63.6
2,38,51.8
3,35,44.5
4,34,43.5
1,53,55.6
2,35,43.3
3,33,39.7
4,29,39.6
1,56,61.6
2,40,50.4
3,38,46.6
4,36,43.8
1,53,57.8
2,40,48.9
3,37,45.3
4,34,43.2
1,74,78.1
2,59,69.5
3,51,61.8
4,49,59.1
1,77,79.0
2,48,62.5
3,47,58.4
4,45,56.8
1,58,62.0
2,45,52.0
3,41,49.2
4,39,46.2
1,85,89.4
2,55,70.5
3,54,65.8
4,51,63.1
1,14,15.6
2,10,11.0
3,8,10.4
4,6,8.4
1,38,39.6
2,24,31.2
3,22,27.0
4,20,25.0
1,54,57.0
2,38,48.6
3,34,42.2
4,32,38.0
1,56,57.6
2,36,48.3
3,34,44.0
4,31,39.9
1,96,95.7
2,61,78.5
3,59,73.1
4,57,67.9
1,14,15.6
2,10,10.8
3,8,9.8
4,6,8.4
1,24,24.0
2,12,18.4
3,12,15.0
4,10,13.6
1,42,43.8
2,26,35.4
3,26,32.0
4,24,29.0
1,44,46.8
2,30,37.2
3,30,34.6
4,26,31.4
1,41,42.8
2,29,35.4
3,28,31.1
4,25,32.2
1,35,38.6
2,25,32.4
3,23,27.4
4,22,27.1
1,38,38.0
2,24,30.8
3,24,27.2
4,24,26.0
1,44,46.2
2,30,35.8
3,28,33.2
4,26,32.4
1,66,70.4
2,44,55.0
3,42,52.6
4,38,48.6
1,72,77.8
2,53,65.4
3,49,59.6
4,47,57.7
1,34,33.1
2,23,27.2
3,19,24.7
4,18,22.5
1,51,53.6
2,32,41.8
3,32,37.2
4,29,37.0
1,51,53.0
2,38,42.9
3,34,39.3
4,32,38.2
1,91,97.4
2,59,75.7
3,56,73.0
4,53,68.7
1,8,8.0
2,6,6.0
3,4,4.4
4,4,4.6
1,28,28.0
2,12,19.4
3,12,17.0
4,12,15.2
1,52,57.4
2,38,44.2
3,32,40.8
4,32,37.2
1,61,63.4
2,40,51.2
3,38,46.8
4,35,43.6
1,60,62.6
2,36,46.4
3,36,41.4
4,32,41.
1,46,48.8
2,32,40.0
3,28,37.0
4,28,34.6
1,40,43.8
2,34,39.9
3,30,37.2
4,29,35.5
1,57,60.6
2,36,47.2
3,36,40.9
4,30,40.0
1,82,87.2
2,58,72.4
3,54,66.0
4,52,62.2
1,79,82.2
2,53,66.2
3,49,62.5
4,47,58.9
1,52,57.0
2,38,49.4
3,36,46.0
4,34,44.8
1,62,69.0
2,44,56.9
3,41,51.1
4,38,46.0
1,61,61.0
2,43,50.3
3,41,49.2
4,39,46.2
1,67,69.6
2,44,57.9
3,44,52.8
4,40,50.5
1,109,109.2
2,72,92.5
3,69,85.9
4,66,80.9
